"Anonymisation","4. SexeVerifieParLeDiplome","14. AnneeDiplomeVerifieParLeDiplome","15. ActiviteActuelle","27. EmploiLieuRegionEtranger","28. EmploiLieuPaysTerritoire","30. Option_EmploiMoisOccupation","32. EmploiContrat","35. EmploiCadre","36. EmploiTempsPleinPartiel","39. EmploiEntreprise","45. EmploiEntrepriseTaille","48. EmploiEntrepriseSecteurActivite","51. EmploiEntrepriseService","53. EmploiEntreprisePoste","54. EmploiResponsabilitesHierarchiques","55. EmploiResponsabiliteBudget","56. EmploiResponsabiliteEquipe","57. EmploiResponsabiliteProjet","61. Option_EmploiInternational","62. Option_EmploiInternationalPrecision","63. EmploiSalaireBrutAnnuelHorsPrimes","64. EmploiPrimesBrutOuiNon","65. EmploiPrimesBrutOuiMontant","66. EmploiAvantagesNatureOuiNon","67. EmploiAvantagesNatureOuiMontant","69. EmploiCommentTrouve","73. Option_EmploiMoyensRechercheEmploi","76. EmploiCritereChoix","78. EmploiAdequationNiveauQualification","79. EmploiAdequationSecteurDisciplinaire","80. EmploiSatisfaction","81. EmploiSatisfactionConditions","82. EmploiSatisfactionCollegues","83. EmploiSatisfactionRemuneration","84. EmploiSatisfactionAutonomie","85. EmploiSatisfactionLocalisation","86. EmploiChercheAutreEmploi","88. VolontariatType","89. VolontariatTypeAutre","113. TheseType","125. TheseSalaireBrutAnnuelHorsPrimes","126. ThesePrimesBrutOuiNon","127. ThesePrimesBrutOuiMontant","128. TheseAvantagesNatureOuiNon","129. TheseAvantagesNatureOuiMontant","130. TheseSalaireBrutAnnuelAvecPrimes","131. 1erEmploiDecritPrecedemment","134. 1erEmploiLapsPourTrouverApresDiplomeMois","135. Option_EcoleSatisfactionFormation","136. Option_EcoleAccompagnementProjetPro","151. Option_ScolariteCesure","152. Option_ScolariteMoisStage","153. Option_ScolariteMoisStageObligatoire","166. Tableaux_Compteur","167. Tableaux_Sexe","168. Tableaux_Promo","170. Effectifs_Promo","171. Effectifs_PromoSexe","175. Tableaux_BooleenFemmes","177. LieuTravail_FranceEtranger","178. Tableaux_BooleenCDI","190. Tableaux_Booleen1erEmploiMoinsDeuxMois","243. PROGRESSION","249. AnneeEnquete","264. Option_ScolariteFiliereFormation","265. Option_ScolariteSpecialisation","Domaine d'activite a un an","Domaine d'activite a 2 ans"
"17040","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Primum Non Nocere","De 20 à 49 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Développement durable, RSE (Responsabilité Sociétale des Entreprises)","Conseillère en développement durable","Non","Oui","Non","Oui","Non",NA,33360,"Oui","1500","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Réseau des anciens élèves;Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé","Oui","Non","Très satisfait(e)","Très satisfait","Satisfait","Satisfait","Très satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Assez utile","Non","13","10","1","Femme","2017","118","69","100","France","100","100","Terminé",2021,"DGE","Chimie-Matériaux-Environnement",NA,NA
"17040","Femme",2017,"En activité professionnelle","Occitanie","France (y compris DOM-COM)","53","CDI","Oui","À temps plein","SAS Primum Non Nocere","De 20 à 49 salarié(e)s","Société de conseil ou d'ingénierie - Bureaux d'études indépendants","Études - Conseil et expertise","Conseillère en développement durable","Non","Non","Non","Oui","Non",NA,35000,"Oui","3000","Oui","1000","Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...);Réseau des anciens élèves;Candidature spontanée","L'adéquation avec un projet professionnel;La politique globale de relations humaines dans l'entreprise;La politique de responsabilité sociétale de l'entreprise (RSE);Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","0","Satisfait(e)","Utile","Non","11",NA,"1","Femme","2017","118","69","100","France","100","100","Terminé",2022,"DGE","Chimie-Santé",NA,NA
"17103","Homme",2017,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Volontariat International en Entreprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Satisfait(e)","Assez utile","Non","11","10","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2018,"MAT","Chimie-Matériaux-Environnement","En volontariat (VIA, VIE, ...)",NA
"17103","Homme",2017,"En volontariat (VIA, VIE, ...)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIE (Volontariat International en Entreprise)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Insatisfait(e)","Très utile","Non","4","3","1","Homme","2017","118","49","0",NA,NA,NA,"Terminé",2019,"MAT","Chimie-Matériaux-Environnement",NA,"En volontariat (VIA, VIE, ...)"
"17103","Homme",2017,"En activité professionnelle","Bourgogne-Franche-Comté","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Plastic Omnium","5 000 salarié(e)s ou plus","Industrie automobile, aéronautique, navale, ferroviaire","Méthodes, contrôle de production, maintenance","ingenieur methodes","Non","Non","Non","Oui","Non",NA,40000,"Oui","3000","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","L'adéquation avec un projet professionnel;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Satisfait","Satisfait","Ni satisfait ni insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Satisfait(e)","Assez utile","Non","11","10","1","Homme","2017","118","49","0","France","100","100","Terminé",2020,"MAT","Chimie-Matériaux-Environnement",NA,NA
"17103","Homme",2017,"En activité professionnelle","Bourgogne-Franche-Comté","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Plastic Omnium","5 000 salarié(e)s ou plus","Industrie automobile, aéronautique, navale, ferroviaire","Méthodes, contrôle de production, maintenance","Ingénieur Méthodes","Non","Non","Non","Oui","Non",NA,40500,"Oui","3000","Non",NA,"Stage de fin d'études (Année césure, année professionnalisante,...)","Stage de fin d'études (Année césure, année professionnalisante,...)","La notoriété de l'entreprise;Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Ni satisfait ni insatisfait","Satisfait","Insatisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","0","Satisfait(e)","Assez utile","Non","11","10","1","Homme","2017","118","49","0","France","100","100","Terminé",2021,"MAT","Chimie-Matériaux-Environnement",NA,NA
"17036","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","2","CDI","Oui","À temps plein","CHIMIMECA","De 20 à 49 salarié(e)s","Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements","Méthodes, contrôle de production, maintenance","Responsable du bureau d'étude, méthodes et qualité","Oui","Non","Oui","Oui","Non",NA,25000,"Oui","2400","Oui","500","Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","Le lieu géographique","Oui","Oui",NA,"Ni satisfait ni insatisfait","Satisfait","Insatisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","2","Très satisfait(e)","Assez utile","Oui","23","11","1","Femme","2017","118","69","100","France","100","0","Terminé",2018,"IPAN","Chimie-Santé","En activité professionnelle",NA
"17036","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Rio Tinto Aluminium","De 50 à 249 salarié(e)s","Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements","Assistance technique","Ingénieur procédé carbone","Non","Non","Non","Non","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",40000,"Oui","6000","Oui","200","Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée","Le contenu de la mission / du poste proposé","Oui","Non",NA,"Très satisfait","Satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","2","Satisfait(e)","Très utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2019,"IPAN",NA,NA,"En activité professionnelle"
"17036","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Rio Tinto - Aluminium Pechiney","De 50 à 249 salarié(e)s","Industries extractives","Assistance technique","Ingénieur procédé","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",41600,"Oui","8000","Oui","500","Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises;Candidature spontanée","Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le montant du salaire proposé","Oui","Non","Très satisfait(e)","Très satisfait","Très satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","3","Très satisfait(e)","Peu utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2020,"IPAN","Chimie-Santé",NA,NA
"17036","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Rio Tinto Aluminium Pechiney","De 50 à 249 salarié(e)s","Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements","Assistance technique","Ingénieur procédé carbone","Non","Oui","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",46000,"Oui","8000","Oui",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","Les perspectives d'évolution au sein de l'entreprise;La politique globale de relations humaines dans l'entreprise;Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","2","Satisfait(e)","Assez utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2021,"IPAN","Chimie-Santé",NA,NA
"17036","Femme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","41","CDI","Oui","À temps plein","SAS","De 50 à 249 salarié(e)s","Industries extractives","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur procédé","Non","Oui","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",47500,"Oui","8000","Oui","1000","Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Sites Internet d'entreprises","Les perspectives d'évolution au sein de l'entreprise;Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé","Oui","Non","Satisfait(e)","Très satisfait","Satisfait","Très satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Non","2","Satisfait(e)","Utile","Oui","24","12","1","Femme","2017","118","69","100","France","100","0","Terminé",2022,"IPAN","Chimie-Santé",NA,NA
"17041","Homme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)","2","CDI","Oui","À temps plein","Alcimed","De 50 à 249 salarié(e)s","Sociétés de conseil, Bureaux d'études, Ingénierie","Recherche-développement, études scientifiques et techniques (autre qu'informatique)","Ingénieur d'études","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",31000,"Non",NA,"Non",NA,"Site Internet spécialisé dans l'emploi","Stage de fin d'études (Année césure, année professionnalisante,...);Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Démarché(e) par un ""chasseur de têtes""","Le contenu de la mission / du poste proposé","Oui","Non","Satisfait(e)","Très satisfait","Très satisfait","Satisfait","Satisfait","Satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Satisfait(e)","Peu utile","Non","13","12","1","Homme","2017","118","49","0","France","100","0","Terminé",2018,"COF","Chimie-Santé","En activité professionnelle",NA
"17041","Homme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Alcimed","De 50 à 249 salarié(e)s","Sociétés de conseil, Bureaux d'études, Ingénierie","Études - Conseil et expertise","Ingenieur d'études","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger;Vous partez régulièrement exercer des missions à l'étranger",NA,"Oui",NA,"Non",NA,"Site Internet spécialisé dans l'emploi","Réseau des anciens élèves;Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée","Le contenu de la mission / du poste proposé","Oui","Oui","Satisfait(e)","Satisfait","Très satisfait","Ni satisfait ni insatisfait","Très satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Très satisfait(e)","Très utile","Non","13","12","1","Homme","2017","118","49","0","France","100","0","Terminé",2019,"COF","Chimie-Santé",NA,"En activité professionnelle"
"17041","Homme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Alcimed","De 50 à 249 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Études - Conseil et expertise","Consultant","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",NA,"Oui","1000",NA,NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi;Candidature spontanée","Les perspectives d'évolution au sein de l'entreprise;Le contenu de la mission / du poste proposé;Le secteur d'activité de l'entreprise;Le montant du salaire proposé","Oui","Oui",NA,"Satisfait","Très satisfait","Satisfait","Satisfait","Très satisfait","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Très satisfait(e)","Assez utile","Non","11","11","1","Homme","2017","118","49","0","France","100","0","Terminé",2020,"COF","Chimie-Santé",NA,NA
"17041","Homme",2017,"En activité professionnelle","Auvergne-Rhône-Alpes","France (y compris DOM-COM)",NA,"CDI","Oui","À temps plein","Alcimed","De 50 à 249 salarié(e)s","Société de conseil ou d'ingénierie, Bureaux d'études indépendants","Études et développement en systèmes d'information","Consultant","Non","Non","Non","Oui","Oui","Vous traitez des projets avec un pays étranger",43000,"Oui","1000","Non",NA,"Site Internet spécialisé dans l'emploi","Site Internet spécialisé dans l'emploi;Site Internet spécialisé dans l'emploi","L'adéquation avec un projet professionnel;Le lieu géographique;Le contenu de la mission / du poste proposé;Le montant du salaire proposé",NA,NA,NA,"Ni satisfait ni insatisfait","Très satisfait","Satisfait","Satisfait","Satisfait","Oui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oui","3","Satisfait(e)","Assez utile","Non","11","11","1","Homme","2017","118","49","0","France","100","0","Terminé",2021,"COF","Chimie-Santé",NA,NA
